-- STATISTICS --

Step: A-3: total number of steps-> 519, mean duration-> 0.49723113s
Step: E-4: total number of steps-> 542, mean duration-> 0.505323s
Step: A-4: total number of steps-> 3, mean duration-> 0.21179879s


-- DETAILED --


Step A-4: @0.0, 0.39583334s
Step A-3: @0.0, 30.0625s
Step E-4: @0.0, 31.083334s
Step A-3: @38.739582, 0.5208359s
Step E-4: @39.572918, 0.46875s
Step A-3: @40.28125, 0.47916794s
Step E-4: @41.104168, 0.625s
Step A-3: @41.8125, 2.25s
Step A-3: @44.916668, 0.5104141s
Step E-4: @45.364582, 0.5520859s
Step A-3: @46.135418, 0.38541412s
Step E-4: @46.96875, 0.48958206s
Step A-3: @47.510418, 0.15625s
Step E-4: @48.145832, 0.46875s
Step A-3: @48.875, 0.38541794s
Step E-4: @49.46875, 0.48958206s
Step A-3: @50.083332, 1.2083359s
Step A-3: @52.4375, 0.60416794s
Step E-4: @53.1875, 0.41666794s
Step A-3: @53.583332, 0.7083359s
Step E-4: @54.5625, 0.5s
Step A-3: @55.291668, 0.375s
Step E-4: @55.885418, 0.375s
Step A-3: @56.458332, 0.39583588s
Step E-4: @57.03125, 0.375s
Step A-3: @57.625, 0.29166794s
Step E-4: @58.197918, 0.53125s
Step A-3: @59.270832, 1.3333359s
Step E-4: @61.541668, 0.5729141s
Step A-3: @62.208332, 0.47916794s
Step E-4: @62.666668, 0.59375s
Step A-3: @63.46875, 0.6041641s
Step E-4: @64.4375, 0.5208359s
Step A-3: @65.270836, 0.27082825s
Step A-3: @68.125, 2.375s
Step E-4: @65.947914, 10.614586s
Step A-3: @76.270836, 1.875s
Step A-3: @79.125, 0.6041641s
Step E-4: @79.885414, 0.7083359s
Step A-3: @80.552086, 0.80207825s
Step A-3: @82.052086, 3.9166641s
Step E-4: @85.822914, 1.3229218s
Step A-3: @87.583336, 0.46875s
Step E-4: @88.208336, 0.55207825s
Step E-4: @89.666664, 0.14583588s
Step E-4: @90.666664, 0.26042175s
Step E-4: @91.75, 0.375s
Step E-4: @92.854164, 0.27083588s
Step E-4: @93.885414, 0.020835876s
Step E-4: @94.916664, 0.5625s
Step A-3: @95.583336, 0.35416412s
Step E-4: @96.208336, 0.58332825s
Step A-3: @97.427086, 0.11457825s
Step E-4: @97.697914, 0.28125s
Step E-4: @102.0, 0.041664124s
Step E-4: @103.020836, 0.44791412s
Step A-3: @103.6875, 0.17708588s
Step E-4: @104.25, 0.39583588s
Step A-3: @105.28125, 0.13541412s
Step E-4: @105.625, 0.28125s
Step E-4: @106.9375, 0.1875s
Step E-4: @107.90625, 0.30208588s
Step E-4: @110.145836, 0.020828247s
Step E-4: @110.260414, 0.03125s
Step E-4: @111.197914, 0.46875s
Step A-3: @111.84375, 0.40625s
Step E-4: @112.479164, 0.5625s
Step E-4: @113.96875, 0.19791412s
Step E-4: @114.979164, 0.041671753s
Step E-4: @116.072914, 0.20833588s
Step E-4: @117.197914, 0.020835876s
Step E-4: @119.3125, 0.4375s
Step A-3: @119.927086, 0.26041412s
Step E-4: @120.520836, 0.5416641s
Step E-4: @121.927086, 0.03125s
Step E-4: @122.020836, 0.21875s
Step E-4: @125.145836, 0.03125s
Step E-4: @127.239586, 0.46875s
Step A-3: @127.90625, 0.30207825s
Step E-4: @128.5, 0.60417175s
Step E-4: @129.96875, 0.22917175s
Step E-4: @135.16667, 0.48957825s
Step A-3: @135.91667, 0.3125s
Step E-4: @136.5625, 0.63542175s
Step E-4: @138.04167, 0.041656494s
Step A-3: @141.73958, 0.3645935s
Step E-4: @142.35417, 0.4375s
Step A-3: @142.9375, 0.25s
Step E-4: @143.80208, 0.125s
Step E-4: @144.79167, 0.2916565s
Step E-4: @146.11458, 0.07292175s
Step E-4: @146.94792, 0.2604065s
Step A-3: @147.63542, 0.1875s
Step A-3: @150.82292, 0.5s
Step E-4: @151.48958, 0.34375s
Step A-3: @152.11458, 0.2083435s
Step E-4: @152.64583, 0.3333435s
Step A-3: @153.23958, 0.32292175s
Step E-4: @153.8125, 0.38542175s
Step A-3: @154.39583, 0.375s
Step E-4: @154.97917, 0.3541565s
Step A-3: @155.52083, 0.3645935s
Step E-4: @156.10417, 0.36457825s
Step A-3: @156.66667, 0.25s
Step E-4: @157.25, 0.27082825s
Step E-4: @158.10417, 0.45832825s
Step A-3: @159.66667, 0.15625s
Step E-4: @159.78125, 0.625s
Step A-3: @160.89583, 0.4895935s
Step A-3: @162.52083, 1.6770935s
Step E-4: @161.6875, 2.9895782s
Step A-3: @165.5, 0.41667175s
Step E-4: @166.1875, 0.27082825s
Step A-3: @166.72917, 0.23957825s
Step E-4: @167.29167, 0.33332825s
Step A-3: @167.85417, 0.3229065s
Step E-4: @168.41667, 0.33332825s
Step A-3: @168.96875, 0.3125s
Step E-4: @169.52083, 0.35417175s
Step A-3: @170.0625, 0.33332825s
Step E-4: @170.61458, 0.32292175s
Step A-3: @171.1875, 0.14582825s
Step E-4: @171.69792, 0.3229065s
Step A-3: @172.25, 0.34375s
Step E-4: @172.80208, 0.3125s
Step A-3: @173.34375, 0.33332825s
Step E-4: @173.89583, 0.3333435s
Step A-3: @174.44792, 0.3229065s
Step E-4: @174.96875, 0.375s
