-- STATISTICS --

Step: A-3: total number of steps-> 478, mean duration-> 0.39548445s
Step: E-4: total number of steps-> 513, mean duration-> 0.42028126s
Step: A-4: total number of steps-> 3, mean duration-> 0.20834012s


-- DETAILED --


Step A-4: @0.0, 0.39583334s
Step E-4: @0.0, 17.395834s
Step A-3: @0.0, 18.041666s
Step E-4: @22.395834, 0.61458206s
Step E-4: @23.614584, 0.16666603s
Step E-4: @28.677084, 0.46875s
Step A-3: @29.416666, 0.45833397s
Step E-4: @30.083334, 0.4375s
Step A-3: @30.739584, 0.45833206s
Step A-3: @31.770834, 0.4062481s
Step E-4: @32.208332, 0.8645859s
Step A-3: @33.28125, 0.46875s
Step E-4: @34.0, 0.41666794s
Step A-3: @34.875, 0.44791794s
Step E-4: @36.145832, 0.41666794s
Step A-3: @36.479168, 1.125s
Step E-4: @37.53125, 0.75s
Step E-4: @39.010418, 0.41666412s
Step A-3: @39.71875, 0.40625s
Step E-4: @40.375, 0.54166794s
Step A-3: @41.15625, 0.04166794s
Step E-4: @42.6875, 0.19791794s
Step E-4: @44.8125, 0.21875s
Step E-4: @46.739582, 0.41666794s
Step A-3: @47.333332, 0.41666794s
Step E-4: @47.947918, 0.5416641s
Step E-4: @50.395832, 0.25s
Step E-4: @51.489582, 0.03125s
Step E-4: @52.552082, 0.15625s
Step E-4: @54.53125, 0.45833206s
Step A-3: @55.135418, 0.30208206s
Step E-4: @55.6875, 0.40625s
Step E-4: @57.020832, 0.04166794s
Step E-4: @57.15625, 0.11458206s
Step E-4: @60.520832, 0.0625s
Step E-4: @62.260418, 0.44791412s
Step A-3: @62.854168, 0.35416412s
Step E-4: @63.458332, 0.5s
Step E-4: @65.833336, 0.23957825s
Step E-4: @66.864586, 0.052078247s
Step E-4: @68.958336, 0.020828247s
Step E-4: @69.895836, 0.41666412s
Step A-3: @70.489586, 0.38541412s
Step E-4: @71.052086, 0.47916412s
Step E-4: @72.354164, 0.041671753s
Step E-4: @72.541664, 0.10417175s
Step E-4: @73.46875, 0.0625s
Step E-4: @74.572914, 0.041671753s
Step E-4: @74.8125, 0.041664124s
Step A-3: @75.291664, 0.14583588s
Step E-4: @75.6875, 0.29166412s
Step E-4: @76.8125, 0.03125s
Step E-4: @77.71875, 0.39583588s
Step A-3: @78.3125, 0.375s
Step E-4: @78.864586, 0.48957825s
Step E-4: @80.15625, 0.26041412s
Step E-4: @83.604164, 0.041671753s
Step E-4: @85.364586, 0.42707825s
Step A-3: @86.0, 0.40625s
Step E-4: @86.583336, 0.42707825s
Step A-3: @87.1875, 0.38541412s
Step E-4: @87.979164, 0.020835876s
Step E-4: @90.083336, 0.020828247s
Step E-4: @91.166664, 0.052085876s
Step E-4: @92.104164, 0.4375s
Step A-3: @92.697914, 0.28125s
Step E-4: @93.208336, 0.48957825s
